,Miracles,Eldrazi,Grixis Delver,Storm,Shardless BUG,UR Delver,Lands,Sneak and Show,Burn,BUG Delver,Death and Taxes,Maverick,4c Loam,Aluren
Miracles,14.22%,40,60,60,50,60,60,40,50,50,50,60,40,40
Eldrazi,,8.53%,60,65,40,50,40,40,50,60,45,40,40,50
Grixis Delver,,,7.58%,60,40,50,40,60,50,55,45,40,45,40
Storm,,,,6.16%,60,55,75,55,60,40,50,45,55,60
Shardless BUG,,,,,5.69%,55,35,40,40,60,50,55,50,40
UR Delver,,,,,,3.79%,55,55,50,55,45,50,45,50
Lands,,,,,,,3.79%,40,60,60,50,45,55,50
Sneak and Show,,,,,,,,3.79%,75,40,25,60,60,60
Burn,,,,,,,,,3.32%,50,50,55,60,55
BUG Delver,,,,,,,,,,3.32%,55,50,50,45
Death and Taxes,,,,,,,,,,,2.37%,45,50,45
Maverick,,,,,,,,,,,,2.37%,45,40
4c Loam,,,,,,,,,,,,,2.37%,40
Aluren,,,,,,,,,,,,,,2.37%
